price,type_local,surface_bati,surface_terrain,date,nb_pieces,type_local_1234
295000.0,Dépendance,0.0,222.0,135,0,2
295000.0,Appartement,62.0,1.0,135,3,1
49000.0,Local industriel. commercial ou assimilé,40.0,1.0,118,0,3
84980.0,Appartement,32.0,1.0,112,2,1
162000.0,Appartement,109.0,1.0,112,5,1
72500.0,Appartement,31.0,1.0,115,2,1
99000.0,Appartement,48.0,1.0,134,2,1
168225.0,Appartement,75.0,1.0,136,3,1
46500.0,Appartement,25.0,1.0,142,1,1
180000.0,Appartement,22.0,1.0,127,1,1
180000.0,Appartement,20.0,1.0,127,1,1
180000.0,Appartement,17.0,1.0,127,1,1
313500.0,Appartement,90.0,1.0,126,4,1
108000.0,Appartement,87.0,1.0,115,3,1
120000.0,Appartement,57.0,1.0,134,2,1
147500.0,Appartement,52.0,1.0,113,2,1
110000.0,Appartement,54.0,1.0,141,3,1
68000.0,Appartement,21.0,1.0,139,1,1
266950.0,Appartement,115.0,1.0,133,4,1
88000.0,Appartement,55.0,1.0,142,2,1
115000.0,Appartement,39.0,1.0,135,2,1
165000.0,Appartement,46.0,1.0,142,2,1
80000.0,Appartement,36.0,1.0,133,1,1
92350.0,Appartement,52.0,1.0,135,3,1
164500.0,Appartement,66.0,1.0,141,3,1
190000.0,Appartement,57.0,1.0,136,2,1
118500.0,Appartement,34.0,1.0,139,1,1
138100.0,Appartement,40.0,1.0,136,1,1
61000.0,Appartement,23.0,1.0,142,1,1
220000.0,Local industriel. commercial ou assimilé,104.0,1.0,92,0,3
89000.0,Appartement,75.0,1.0,148,3,1
217800.0,Appartement,85.0,1.0,125,3,1
80835.0,Appartement,56.0,1.0,146,3,1
240000.0,Appartement,160.0,1.0,132,6,1
110000.0,Appartement,65.0,1.0,143,2,1
47500.0,Appartement,19.0,1.0,148,1,1
129000.0,Appartement,40.0,1.0,148,1,1
86000.0,Appartement,70.0,1.0,139,3,1
67000.0,Appartement,60.0,1.0,147,3,1
235700.0,Appartement,74.0,1.0,134,3,1
60000.0,Appartement,23.0,1.0,146,1,1
75170.0,Appartement,41.0,1.0,142,1,1
121000.0,Appartement,60.0,1.0,147,3,1
220500.0,Appartement,54.0,1.0,134,2,1
80000.0,Appartement,41.0,1.0,126,2,1
130000.0,Appartement,58.0,1.0,136,4,1
196000.0,Appartement,84.0,1.0,142,3,1
51000.0,Appartement,18.0,1.0,136,1,1
130000.0,Appartement,71.0,1.0,143,3,1
223400.0,Appartement,89.0,1.0,147,3,1
143700.0,Appartement,59.0,1.0,141,2,1
118965.0,Appartement,59.0,1.0,148,3,1
207100.0,Appartement,61.0,1.0,133,2,1
100000.0,Appartement,55.0,1.0,148,3,1
175000.0,Appartement,60.0,1.0,147,2,1
61000.0,Local industriel. commercial ou assimilé,48.0,1.0,148,0,3
215000.0,Appartement,90.0,1.0,113,4,1
197000.0,Appartement,85.0,1.0,126,4,1
90500.0,Appartement,28.0,1.0,94,2,1
170000.0,Appartement,86.0,1.0,141,4,1
170000.0,Appartement,108.0,1.0,141,5,1
129000.0,Appartement,56.0,1.0,101,3,1
120000.0,Appartement,68.0,1.0,126,4,1
568000.0,Appartement,190.0,1.0,148,5,1
83000.0,Appartement,45.0,1.0,148,2,1
121000.0,Appartement,62.0,1.0,150,3,1
74864.0,Local industriel. commercial ou assimilé,22.0,1.0,155,0,3
315880.0,Appartement,85.0,1.0,154,4,1
130000.0,Appartement,75.0,1.0,147,5,1
138550.0,Local industriel. commercial ou assimilé,68.0,1.0,143,0,3
121000.0,Appartement,65.0,1.0,147,4,1
210900.0,Appartement,73.0,1.0,148,3,1
124000.0,Appartement,49.0,1.0,148,3,1
109400.0,Appartement,39.0,1.0,147,1,1
232000.0,Appartement,71.0,1.0,135,3,1
135000.0,Appartement,51.0,1.0,136,3,1
258000.0,Appartement,89.0,1.0,132,3,1
80000.0,Appartement,31.0,1.0,147,1,1
330500.0,Appartement,105.0,1.0,134,3,1
305400.0,Appartement,90.0,1.0,147,3,1
2000.0,Local industriel. commercial ou assimilé,88.0,1.0,148,0,3
148500.0,Appartement,80.0,1.0,147,4,1
130000.0,Appartement,50.0,1.0,147,2,1
205400.0,Appartement,60.0,1.0,148,3,1
110000.0,Local industriel. commercial ou assimilé,42.0,1.0,139,0,3
110000.0,Local industriel. commercial ou assimilé,106.0,1.0,139,0,3
254000.0,Appartement,86.0,1.0,148,4,1
52000.0,Appartement,27.0,1.0,155,1,1
120150.0,Appartement,50.0,1.0,133,2,1
141000.0,Appartement,64.0,1.0,135,4,1
273100.0,Appartement,67.0,1.0,162,3,1
195000.0,Appartement,82.0,1.0,147,3,1
174000.0,Appartement,60.0,1.0,142,3,1
165500.0,Appartement,62.0,1.0,148,3,1
212750.0,Appartement,86.0,1.0,134,4,1
103000.0,Appartement,67.0,1.0,148,3,1
125000.0,Appartement,47.0,1.0,135,2,1
120000.0,Appartement,83.0,1.0,147,2,1
128500.0,Appartement,85.0,1.0,132,4,1
600000.0,Local industriel. commercial ou assimilé,650.0,1.0,148,0,3
246500.0,Appartement,105.0,1.0,142,4,1
133000.0,Appartement,36.0,1.0,147,2,1
127850.0,Appartement,54.0,1.0,147,2,1
79900.0,Local industriel. commercial ou assimilé,19.0,1.0,163,0,3
68000.0,Appartement,18.0,1.0,162,1,1
45000.0,Local industriel. commercial ou assimilé,40.0,1.0,162,0,3
187000.0,Dépendance,0.0,445.0,147,0,2
187000.0,Dépendance,0.0,445.0,147,0,2
187000.0,Dépendance,0.0,445.0,147,0,2
187000.0,Dépendance,0.0,445.0,147,0,2
187000.0,Dépendance,0.0,445.0,147,0,2
187000.0,Dépendance,0.0,445.0,147,0,2
187000.0,Dépendance,0.0,445.0,147,0,2
126000.0,Appartement,38.0,1.0,148,1,1
161100.0,Appartement,43.0,1.0,157,2,1
176350.0,Appartement,76.0,1.0,148,3,1
176250.0,Appartement,100.0,1.0,143,4,1
50000.0,Appartement,57.0,1.0,150,3,1
610000.0,Local industriel. commercial ou assimilé,350.0,1.0,146,0,3
171500.0,Appartement,73.0,1.0,148,3,1
240000.0,Appartement,100.0,1.0,142,4,1
90000.0,Appartement,34.0,1.0,148,1,1
96600.0,Appartement,31.0,1.0,147,1,1
142000.0,Appartement,58.0,1.0,146,4,1
49000.0,Appartement,18.0,1.0,148,1,1
115000.0,Appartement,60.0,1.0,156,2,1
70500.0,Appartement,26.0,1.0,141,1,1
81100.0,Appartement,86.0,1.0,156,4,1
75200.0,Appartement,55.0,1.0,148,3,1
297700.0,Appartement,130.0,1.0,143,5,1
77890.0,Appartement,54.0,1.0,162,3,1
90000.0,Appartement,78.0,1.0,154,4,1
71500.0,Appartement,18.0,1.0,150,1,1
243040.0,Appartement,96.0,1.0,143,5,1
119500.0,Appartement,66.0,1.0,146,4,1
105000.0,Appartement,51.0,1.0,146,1,1
50000.0,Appartement,18.0,1.0,147,1,1
56100.0,Appartement,22.0,1.0,143,1,1
106200.0,Appartement,24.0,1.0,148,1,1
261750.0,Appartement,80.0,1.0,143,3,1
109250.0,Appartement,28.0,1.0,169,2,1
47000.0,Appartement,16.0,1.0,162,1,1
228000.0,Appartement,20.0,1.0,143,1,1
228000.0,Appartement,20.0,1.0,143,1,1
228000.0,Appartement,20.0,1.0,143,1,1
228000.0,Appartement,16.0,1.0,143,1,1
228000.0,Appartement,18.0,1.0,143,1,1
228000.0,Appartement,20.0,1.0,143,1,1
8000.0,Appartement,180.0,1.0,168,6,1
244450.0,Appartement,67.0,1.0,148,3,1
98000.0,Appartement,30.0,1.0,148,1,1
64510.0,Appartement,21.0,1.0,148,1,1
380000.0,Appartement,147.0,1.0,161,4,1
99000.0,Appartement,25.0,1.0,169,1,1
170000.0,Appartement,68.0,1.0,162,4,1
315000.0,Local industriel. commercial ou assimilé,110.0,1.0,167,0,3
77500.0,Appartement,20.0,1.0,162,1,1
77500.0,Appartement,16.0,1.0,162,1,1
77500.0,Appartement,16.0,1.0,162,1,1
79000.0,Appartement,28.0,1.0,157,1,1
215000.0,Appartement,75.0,1.0,148,3,1
105000.0,Appartement,68.0,1.0,148,4,1
134100.0,Appartement,50.0,1.0,148,2,1
308400.0,Appartement,115.0,1.0,148,3,1
175000.0,Local industriel. commercial ou assimilé,106.0,1.0,148,0,3
89000.0,Appartement,47.0,1.0,148,2,1
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Appartement,14.0,40.0,147,1,1
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Dépendance,0.0,40.0,147,0,2
370000.0,Appartement,14.0,40.0,147,1,1
370000.0,Appartement,14.0,40.0,147,1,1
370000.0,Appartement,14.0,40.0,147,1,1
370000.0,Appartement,14.0,40.0,147,1,1
370000.0,Appartement,14.0,40.0,147,1,1
370000.0,Appartement,14.0,40.0,147,1,1
71400.0,Appartement,28.0,1.0,157,1,1
136500.0,Appartement,45.0,1.0,148,2,1
115000.0,Appartement,45.0,1.0,163,3,1
109800.0,Appartement,37.0,1.0,171,1,1
124000.0,Appartement,71.0,1.0,146,3,1
220000.0,Appartement,123.0,1.0,164,5,1
61840.0,Appartement,19.0,1.0,139,1,1
42000.0,Appartement,15.0,1.0,174,1,1
