price,type_local,surface_bati,surface_terrain,date,nb_pieces,type_local_1234
265000.0,Appartement,100.0,1.0,20,4,1
115000.0,Appartement,47.0,1.0,37,2,1
80000.0,Appartement,37.0,1.0,21,1,1
51480.0,Appartement,36.0,1.0,15,1,1
120000.0,Appartement,82.0,1.0,17,4,1
98955.0,Appartement,42.0,1.0,30,2,1
215490.0,Appartement,77.0,1.0,38,3,1
200000.0,Appartement,66.0,1.0,17,2,1
135000.0,Appartement,48.0,1.0,27,2,1
238000.0,Appartement,59.0,1.0,29,2,1
38000.0,Local industriel. commercial ou assimilé,39.0,1.0,31,0,3
70000.0,Appartement,42.0,1.0,30,2,1
176000.0,Appartement,55.0,1.0,27,2,1
